info_date,n_points,agreement
2025-08-28,93,0.44086021505376344
2025-08-29,96,0.5416666666666666
2025-08-30,96,0.375
2025-08-31,96,0.5520833333333334
2025-09-01,96,0.21875
2025-09-02,96,0.3541666666666667
2025-09-03,96,0.3229166666666667
2025-09-04,96,0.3854166666666667
2025-09-05,96,0.6770833333333334
2025-09-06,96,0.65625
2025-09-07,96,0.7083333333333334
2025-09-08,96,0.6354166666666666
2025-09-09,96,0.4166666666666667
2025-09-10,96,0.25
2025-09-11,96,0.6041666666666666
2025-09-12,96,0.59375
2025-09-13,96,0.5416666666666666
2025-09-14,96,0.3854166666666667
2025-09-15,96,0.3645833333333333
2025-09-16,96,0.5208333333333334
2025-09-17,96,0.5625
2025-09-18,96,0.6041666666666666
2025-09-19,96,0.3645833333333333
2025-09-20,96,0.4583333333333333
2025-09-21,96,0.46875
2025-09-22,96,0.3958333333333333
2025-09-23,96,0.6666666666666666
2025-09-24,96,0.53125
2025-09-25,96,0.3229166666666667
2025-09-26,96,0.25
