info_date,n_points,agreement
2025-09-18,96,0.5208333333333334
2025-09-19,96,0.5625
2025-09-20,96,0.6666666666666666
2025-09-21,96,0.4583333333333333
2025-09-22,96,0.34375
2025-09-23,96,0.6458333333333334
2025-09-24,96,0.9166666666666666
2025-09-25,96,0.2916666666666667
2025-09-26,96,0.3958333333333333
2025-09-27,96,0.40625
2025-09-28,96,0.4583333333333333
2025-09-29,96,0.3958333333333333
2025-09-30,96,0.6354166666666666
2025-10-01,96,0.7708333333333334
2025-10-02,96,0.8541666666666666
2025-10-03,96,0.6770833333333334
2025-10-04,96,0.3229166666666667
2025-10-05,96,0.7395833333333334
2025-10-06,96,0.7708333333333334
2025-10-07,96,0.65625
2025-10-08,96,0.7916666666666666
2025-10-09,96,0.6145833333333334
2025-10-10,96,0.4895833333333333
2025-10-11,96,0.8333333333333334
2025-10-12,96,0.9583333333333334
2025-10-13,96,0.7083333333333334
2025-10-14,96,1.0
2025-10-15,96,1.0
2025-10-16,96,1.0
2025-10-17,96,1.0
